image,psnr,ssim,lpips,enhanced_path,low_path,gt_path
r0773471dt.png,12.867664,0.770068,0.227303,data/result_lol/lolv2_syn/r0773471dt.png,data/LOL-v2/Synthetic/Test/Low/r0773471dt.png,data/LOL-v2/Synthetic/Test/Normal/r0773471dt.png
r077507cat.png,21.478325,0.826498,0.144036,data/result_lol/lolv2_syn/r077507cat.png,data/LOL-v2/Synthetic/Test/Low/r077507cat.png,data/LOL-v2/Synthetic/Test/Normal/r077507cat.png
r08079988t.png,17.630402,0.812609,0.185712,data/result_lol/lolv2_syn/r08079988t.png,data/LOL-v2/Synthetic/Test/Low/r08079988t.png,data/LOL-v2/Synthetic/Test/Normal/r08079988t.png
r0809811bt.png,18.609027,0.772244,0.317215,data/result_lol/lolv2_syn/r0809811bt.png,data/LOL-v2/Synthetic/Test/Low/r0809811bt.png,data/LOL-v2/Synthetic/Test/Normal/r0809811bt.png
r082626aft.png,20.440411,0.778881,0.177215,data/result_lol/lolv2_syn/r082626aft.png,data/LOL-v2/Synthetic/Test/Low/r082626aft.png,data/LOL-v2/Synthetic/Test/Normal/r082626aft.png
r084889d5t.png,18.855817,0.912993,0.163741,data/result_lol/lolv2_syn/r084889d5t.png,data/LOL-v2/Synthetic/Test/Low/r084889d5t.png,data/LOL-v2/Synthetic/Test/Normal/r084889d5t.png
r08788547t.png,9.021282,0.460433,0.388356,data/result_lol/lolv2_syn/r08788547t.png,data/LOL-v2/Synthetic/Test/Low/r08788547t.png,data/LOL-v2/Synthetic/Test/Normal/r08788547t.png
r08873591t.png,14.487810,0.673817,0.217221,data/result_lol/lolv2_syn/r08873591t.png,data/LOL-v2/Synthetic/Test/Low/r08873591t.png,data/LOL-v2/Synthetic/Test/Normal/r08873591t.png
r08996953t.png,11.625466,0.809763,0.315333,data/result_lol/lolv2_syn/r08996953t.png,data/LOL-v2/Synthetic/Test/Low/r08996953t.png,data/LOL-v2/Synthetic/Test/Normal/r08996953t.png
r0905697bt.png,23.362520,0.931099,0.128288,data/result_lol/lolv2_syn/r0905697bt.png,data/LOL-v2/Synthetic/Test/Low/r0905697bt.png,data/LOL-v2/Synthetic/Test/Normal/r0905697bt.png
r09245347t.png,15.556692,0.633041,0.267104,data/result_lol/lolv2_syn/r09245347t.png,data/LOL-v2/Synthetic/Test/Low/r09245347t.png,data/LOL-v2/Synthetic/Test/Normal/r09245347t.png
r09445479t.png,22.005383,0.943687,0.116493,data/result_lol/lolv2_syn/r09445479t.png,data/LOL-v2/Synthetic/Test/Low/r09445479t.png,data/LOL-v2/Synthetic/Test/Normal/r09445479t.png
r09670876t.png,14.893928,0.913699,0.132107,data/result_lol/lolv2_syn/r09670876t.png,data/LOL-v2/Synthetic/Test/Low/r09670876t.png,data/LOL-v2/Synthetic/Test/Normal/r09670876t.png
r096982ddt.png,13.072927,0.832518,0.231580,data/result_lol/lolv2_syn/r096982ddt.png,data/LOL-v2/Synthetic/Test/Low/r096982ddt.png,data/LOL-v2/Synthetic/Test/Normal/r096982ddt.png
r097088c1t.png,19.595662,0.852884,0.170713,data/result_lol/lolv2_syn/r097088c1t.png,data/LOL-v2/Synthetic/Test/Low/r097088c1t.png,data/LOL-v2/Synthetic/Test/Normal/r097088c1t.png
r097555c4t.png,10.639774,0.783193,0.246529,data/result_lol/lolv2_syn/r097555c4t.png,data/LOL-v2/Synthetic/Test/Low/r097555c4t.png,data/LOL-v2/Synthetic/Test/Normal/r097555c4t.png
r104153eat.png,14.521333,0.899655,0.141067,data/result_lol/lolv2_syn/r104153eat.png,data/LOL-v2/Synthetic/Test/Low/r104153eat.png,data/LOL-v2/Synthetic/Test/Normal/r104153eat.png
r107730b5t.png,11.787027,0.728445,0.257249,data/result_lol/lolv2_syn/r107730b5t.png,data/LOL-v2/Synthetic/Test/Low/r107730b5t.png,data/LOL-v2/Synthetic/Test/Normal/r107730b5t.png
r108301e3t.png,15.408244,0.816086,0.223608,data/result_lol/lolv2_syn/r108301e3t.png,data/LOL-v2/Synthetic/Test/Low/r108301e3t.png,data/LOL-v2/Synthetic/Test/Normal/r108301e3t.png
r10893508t.png,19.303125,0.787348,0.179338,data/result_lol/lolv2_syn/r10893508t.png,data/LOL-v2/Synthetic/Test/Low/r10893508t.png,data/LOL-v2/Synthetic/Test/Normal/r10893508t.png
r10940798t.png,21.540636,0.913652,0.147413,data/result_lol/lolv2_syn/r10940798t.png,data/LOL-v2/Synthetic/Test/Low/r10940798t.png,data/LOL-v2/Synthetic/Test/Normal/r10940798t.png
r113402d4t.png,20.435405,0.874048,0.144141,data/result_lol/lolv2_syn/r113402d4t.png,data/LOL-v2/Synthetic/Test/Low/r113402d4t.png,data/LOL-v2/Synthetic/Test/Normal/r113402d4t.png
