image,psnr,ssim,lpips,enhanced_path,low_path,gt_path
00755.png,12.853938,0.222745,0.751466,data/result_lol/lolv2_real/00755.png,data/LOL-v2/Real_captured/Test/Low/00755.png,data/LOL-v2/Real_captured/Test/Normal/00755.png
00756.png,12.885824,0.213223,0.749359,data/result_lol/lolv2_real/00756.png,data/LOL-v2/Real_captured/Test/Low/00756.png,data/LOL-v2/Real_captured/Test/Normal/00756.png
00757.png,14.047333,0.335116,0.717512,data/result_lol/lolv2_real/00757.png,data/LOL-v2/Real_captured/Test/Low/00757.png,data/LOL-v2/Real_captured/Test/Normal/00757.png
00758.png,14.079121,0.346823,0.673754,data/result_lol/lolv2_real/00758.png,data/LOL-v2/Real_captured/Test/Low/00758.png,data/LOL-v2/Real_captured/Test/Normal/00758.png
00759.png,9.704521,0.439922,0.418619,data/result_lol/lolv2_real/00759.png,data/LOL-v2/Real_captured/Test/Low/00759.png,data/LOL-v2/Real_captured/Test/Normal/00759.png
00760.png,9.898471,0.459287,0.435827,data/result_lol/lolv2_real/00760.png,data/LOL-v2/Real_captured/Test/Low/00760.png,data/LOL-v2/Real_captured/Test/Normal/00760.png
00761.png,12.094178,0.391570,0.546592,data/result_lol/lolv2_real/00761.png,data/LOL-v2/Real_captured/Test/Low/00761.png,data/LOL-v2/Real_captured/Test/Normal/00761.png
00762.png,12.252233,0.389461,0.554988,data/result_lol/lolv2_real/00762.png,data/LOL-v2/Real_captured/Test/Low/00762.png,data/LOL-v2/Real_captured/Test/Normal/00762.png
00763.png,7.777044,0.309157,0.519083,data/result_lol/lolv2_real/00763.png,data/LOL-v2/Real_captured/Test/Low/00763.png,data/LOL-v2/Real_captured/Test/Normal/00763.png
00764.png,8.172667,0.293454,0.601369,data/result_lol/lolv2_real/00764.png,data/LOL-v2/Real_captured/Test/Low/00764.png,data/LOL-v2/Real_captured/Test/Normal/00764.png
00765.png,12.344891,0.478530,0.343000,data/result_lol/lolv2_real/00765.png,data/LOL-v2/Real_captured/Test/Low/00765.png,data/LOL-v2/Real_captured/Test/Normal/00765.png
00766.png,12.378501,0.488411,0.341849,data/result_lol/lolv2_real/00766.png,data/LOL-v2/Real_captured/Test/Low/00766.png,data/LOL-v2/Real_captured/Test/Normal/00766.png
00767.png,17.038546,0.312942,0.594989,data/result_lol/lolv2_real/00767.png,data/LOL-v2/Real_captured/Test/Low/00767.png,data/LOL-v2/Real_captured/Test/Normal/00767.png
00768.png,15.884314,0.325753,0.582965,data/result_lol/lolv2_real/00768.png,data/LOL-v2/Real_captured/Test/Low/00768.png,data/LOL-v2/Real_captured/Test/Normal/00768.png
00769.png,10.805562,0.251071,0.732859,data/result_lol/lolv2_real/00769.png,data/LOL-v2/Real_captured/Test/Low/00769.png,data/LOL-v2/Real_captured/Test/Normal/00769.png
00770.png,10.765337,0.250124,0.741522,data/result_lol/lolv2_real/00770.png,data/LOL-v2/Real_captured/Test/Low/00770.png,data/LOL-v2/Real_captured/Test/Normal/00770.png
00771.png,9.453218,0.332532,0.542119,data/result_lol/lolv2_real/00771.png,data/LOL-v2/Real_captured/Test/Low/00771.png,data/LOL-v2/Real_captured/Test/Normal/00771.png
00772.png,9.513710,0.397816,0.532178,data/result_lol/lolv2_real/00772.png,data/LOL-v2/Real_captured/Test/Low/00772.png,data/LOL-v2/Real_captured/Test/Normal/00772.png
00773.png,14.355455,0.330434,0.750739,data/result_lol/lolv2_real/00773.png,data/LOL-v2/Real_captured/Test/Low/00773.png,data/LOL-v2/Real_captured/Test/Normal/00773.png
00774.png,14.696889,0.314500,0.751863,data/result_lol/lolv2_real/00774.png,data/LOL-v2/Real_captured/Test/Low/00774.png,data/LOL-v2/Real_captured/Test/Normal/00774.png
00775.png,12.040107,0.519782,0.340032,data/result_lol/lolv2_real/00775.png,data/LOL-v2/Real_captured/Test/Low/00775.png,data/LOL-v2/Real_captured/Test/Normal/00775.png
00776.png,12.299654,0.511823,0.345652,data/result_lol/lolv2_real/00776.png,data/LOL-v2/Real_captured/Test/Low/00776.png,data/LOL-v2/Real_captured/Test/Normal/00776.png
00777.png,15.543666,0.441142,0.401082,data/result_lol/lolv2_real/00777.png,data/LOL-v2/Real_captured/Test/Low/00777.png,data/LOL-v2/Real_captured/Test/Normal/00777.png
00778.png,15.983682,0.457554,0.397104,data/result_lol/lolv2_real/00778.png,data/LOL-v2/Real_captured/Test/Low/00778.png,data/LOL-v2/Real_captured/Test/Normal/00778.png
00779.png,10.383518,0.326965,0.555606,data/result_lol/lolv2_real/00779.png,data/LOL-v2/Real_captured/Test/Low/00779.png,data/LOL-v2/Real_captured/Test/Normal/00779.png
00780.png,10.431540,0.326558,0.561015,data/result_lol/lolv2_real/00780.png,data/LOL-v2/Real_captured/Test/Low/00780.png,data/LOL-v2/Real_captured/Test/Normal/00780.png
00781.png,12.500009,0.561555,0.431960,data/result_lol/lolv2_real/00781.png,data/LOL-v2/Real_captured/Test/Low/00781.png,data/LOL-v2/Real_captured/Test/Normal/00781.png
00782.png,12.587150,0.580797,0.427737,data/result_lol/lolv2_real/00782.png,data/LOL-v2/Real_captured/Test/Low/00782.png,data/LOL-v2/Real_captured/Test/Normal/00782.png
00783.png,12.579337,0.579920,0.432326,data/result_lol/lolv2_real/00783.png,data/LOL-v2/Real_captured/Test/Low/00783.png,data/LOL-v2/Real_captured/Test/Normal/00783.png
00784.png,16.281482,0.491476,0.471190,data/result_lol/lolv2_real/00784.png,data/LOL-v2/Real_captured/Test/Low/00784.png,data/LOL-v2/Real_captured/Test/Normal/00784.png
00785.png,16.225368,0.483044,0.468403,data/result_lol/lolv2_real/00785.png,data/LOL-v2/Real_captured/Test/Low/00785.png,data/LOL-v2/Real_captured/Test/Normal/00785.png
00786.png,16.307962,0.494885,0.470241,data/result_lol/lolv2_real/00786.png,data/LOL-v2/Real_captured/Test/Low/00786.png,data/LOL-v2/Real_captured/Test/Normal/00786.png
00787.png,15.391183,0.294406,0.627640,data/result_lol/lolv2_real/00787.png,data/LOL-v2/Real_captured/Test/Low/00787.png,data/LOL-v2/Real_captured/Test/Normal/00787.png
00788.png,15.285174,0.290668,0.631703,data/result_lol/lolv2_real/00788.png,data/LOL-v2/Real_captured/Test/Low/00788.png,data/LOL-v2/Real_captured/Test/Normal/00788.png
00789.png,15.272909,0.291133,0.634048,data/result_lol/lolv2_real/00789.png,data/LOL-v2/Real_captured/Test/Low/00789.png,data/LOL-v2/Real_captured/Test/Normal/00789.png
